function_name,module,implemented,impl_file,tested,test_file
nppiAbsDiffC_16u_C1R,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_absdiffc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_absdiffc.cpp
nppiAbsDiffC_16u_C1R_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_absdiffc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_absdiffc.cpp
nppiAbsDiffC_32f_C1R,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_absdiffc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_absdiffc.cpp
nppiAbsDiffC_32f_C1R_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_absdiffc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_absdiffc.cpp
nppiAbsDiffC_8u_C1R,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_absdiffc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_absdiffc.cpp
nppiAbsDiffC_8u_C1R_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_absdiffc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_absdiffc.cpp
nppiAbsDiffDeviceC_16u_C1R_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_devicec.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_absdiffdevicec_complete.cpp
nppiAbsDiffDeviceC_32f_C1R_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_devicec.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_absdiffdevicec.cpp
nppiAbsDiffDeviceC_8u_C1R_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_devicec.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_absdiffdevicec_complete.cpp
nppiAbsDiff_16f_C1R,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_absdiff.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_arithmetic_16f.cpp
nppiAbsDiff_16f_C1R_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_absdiff.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_arithmetic_16f.cpp
nppiAbsDiff_16u_C1R,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_absdiff.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_absdiff_param.cpp
nppiAbsDiff_16u_C1R_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_absdiff.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_absdiff_param.cpp
nppiAbsDiff_32f_C1R,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_absdiff.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_absdiff_param.cpp
nppiAbsDiff_32f_C1R_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_absdiff.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_absdiff_param.cpp
nppiAbsDiff_8u_C1R,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_absdiff.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_absdiff_param.cpp
nppiAbsDiff_8u_C1R_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_absdiff.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_absdiff_param.cpp
nppiAbsDiff_8u_C3R,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_absdiff.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_absdiff_param.cpp
nppiAbsDiff_8u_C3R_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_absdiff.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_absdiff_param.cpp
nppiAbsDiff_8u_C4R,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_absdiff.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_absdiff_param.cpp
nppiAbsDiff_8u_C4R_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_absdiff.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_absdiff_param.cpp
nppiAbs_16f_C1IR,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_16f_C1IR_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_16f_C1R,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_16f_C1R_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_16f_C3IR,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_16f_C3IR_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_16f_C3R,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_16f_C3R_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
