function_name,usage_count,implemented,impl_file,tested,test_file
nppiAlphaCompColorKey_8u_AC4R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiAlphaCompColorKey_8u_AC4R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToCbYCr422_709HDTV_8u_AC4C2R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToCbYCr422_709HDTV_8u_AC4C2R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToCbYCr422_709HDTV_8u_C3C2R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToCbYCr422_709HDTV_8u_C3C2R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToCbYCr422_8u_AC4C2R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToCbYCr422_8u_AC4C2R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToHLS_8u_AC4P4R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_rgb_hls.cpp,no,
nppiBGRToHLS_8u_AC4P4R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_rgb_hls.cpp,no,
nppiBGRToHLS_8u_AC4R,1,yes,src/nppi/nppi_color_conversion_operations/nppi_rgb_hls.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_hls.cpp
nppiBGRToHLS_8u_AC4R_Ctx,1,yes,src/nppi/nppi_color_conversion_operations/nppi_rgb_hls.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_hls.cpp
nppiBGRToHLS_8u_AP4C4R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_rgb_hls.cpp,no,
nppiBGRToHLS_8u_AP4C4R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_rgb_hls.cpp,no,
nppiBGRToHLS_8u_AP4R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_rgb_hls.cpp,no,
nppiBGRToHLS_8u_AP4R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_rgb_hls.cpp,no,
nppiBGRToHLS_8u_C3P3R,1,yes,src/nppi/nppi_color_conversion_operations/nppi_rgb_hls.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_hls.cpp
nppiBGRToHLS_8u_C3P3R_Ctx,1,yes,src/nppi/nppi_color_conversion_operations/nppi_rgb_hls.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_hls.cpp
nppiBGRToHLS_8u_P3C3R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_rgb_hls.cpp,no,
nppiBGRToHLS_8u_P3C3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_rgb_hls.cpp,no,
nppiBGRToHLS_8u_P3R,1,yes,src/nppi/nppi_color_conversion_operations/nppi_rgb_hls.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_hls.cpp
nppiBGRToHLS_8u_P3R_Ctx,1,yes,src/nppi/nppi_color_conversion_operations/nppi_rgb_hls.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_hls.cpp
nppiBGRToLab_8u_C3R,1,yes,src/nppi/nppi_color_conversion_operations/nppi_lab.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_lab.cpp
nppiBGRToLab_8u_C3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_lab.cpp,no,
nppiBGRToYCbCr411_8u_AC4P3R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_ycbcr411.cpp,no,
nppiBGRToYCbCr411_8u_AC4P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_ycbcr411.cpp,no,
nppiBGRToYCbCr411_8u_C3P3R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_ycbcr411.cpp,no,
nppiBGRToYCbCr411_8u_C3P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_ycbcr411.cpp,no,
nppiBGRToYCbCr411_JPEG_8u_C3P3R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_ycbcr411.cpp,no,
nppiBGRToYCbCr411_JPEG_8u_C3P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_ycbcr411.cpp,no,
nppiBGRToYCbCr411_JPEG_8u_P3R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_ycbcr411.cpp,no,
nppiBGRToYCbCr411_JPEG_8u_P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_ycbcr411.cpp,no,
nppiBGRToYCbCr420_709CSC_8u_AC4P3R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToYCbCr420_709CSC_8u_AC4P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToYCbCr420_709CSC_8u_C3P3R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToYCbCr420_709CSC_8u_C3P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToYCbCr420_709HDTV_8u_AC4P3R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToYCbCr420_709HDTV_8u_AC4P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToYCbCr420_8u_AC4P3R,1,yes,src/nppi/nppi_color_conversion_operations/nppi_ycbcr420_rgb.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_ycbcr420_bgr.cpp
nppiBGRToYCbCr420_8u_AC4P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_ycbcr420_rgb.cpp,no,
nppiBGRToYCbCr420_8u_C3P3R,1,yes,src/nppi/nppi_color_conversion_operations/nppi_ycbcr420_rgb.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_ycbcr420_bgr.cpp
nppiBGRToYCbCr420_8u_C3P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_ycbcr420_rgb.cpp,no,
nppiBGRToYCbCr420_JPEG_8u_C3P3R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToYCbCr420_JPEG_8u_C3P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToYCbCr420_JPEG_8u_P3R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToYCbCr420_JPEG_8u_P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToYCbCr422_8u_AC4C2R,1,yes,src/nppi/nppi_color_conversion_operations/nppi_ycbcr422_rgb.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_ycbcr422_bgra.cpp
nppiBGRToYCbCr422_8u_AC4C2R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_ycbcr422_rgb.cpp,no,
nppiBGRToYCbCr422_8u_AC4P3R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToYCbCr422_8u_AC4P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToYCbCr422_8u_C3C2R,1,yes,src/nppi/nppi_color_conversion_operations/nppi_ycbcr422_rgb.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_ycbcr422_bgr.cpp
nppiBGRToYCbCr422_8u_C3C2R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_ycbcr422_rgb.cpp,no,
nppiBGRToYCbCr422_8u_C3P3R,1,yes,src/nppi/nppi_color_conversion_operations/nppi_ycbcr422_rgb.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_ycbcr_subsampled.cpp
nppiBGRToYCbCr422_8u_C3P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_ycbcr422_rgb.cpp,no,
nppiBGRToYCbCr422_JPEG_8u_C3P3R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToYCbCr422_JPEG_8u_C3P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToYCbCr422_JPEG_8u_P3R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToYCbCr422_JPEG_8u_P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToYCbCr444_JPEG_8u_C3P3R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToYCbCr444_JPEG_8u_C3P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToYCbCr444_JPEG_8u_P3R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToYCbCr444_JPEG_8u_P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
