api,category,priority,implemented,tested,action
nppiAlphaComp_16u_AC4R,Color/Alpha,P1,no,no,implement
nppiAlphaComp_16u_AC4R_Ctx,Color/Alpha,P1,no,no,implement
nppiAlphaComp_32f_AC4R,Color/Alpha,P1,no,no,implement
nppiAlphaComp_32f_AC4R_Ctx,Color/Alpha,P1,no,no,implement
nppiAlphaComp_32s_AC4R,Color/Alpha,P1,no,no,implement
nppiAlphaComp_32s_AC4R_Ctx,Color/Alpha,P1,no,no,implement
nppiAlphaComp_8u_AC4R,Color/Alpha,P1,no,no,implement
nppiAlphaComp_8u_AC4R_Ctx,Color/Alpha,P1,no,no,implement
nppiAlphaPremul_16u_AC4R,Color/Alpha,P1,yes,yes,done
nppiAlphaPremul_16u_AC4R_Ctx,Color/Alpha,P1,yes,no,add_test
nppiAlphaPremul_8u_AC4R,Color/Alpha,P1,yes,yes,done
nppiAlphaPremul_8u_AC4R_Ctx,Color/Alpha,P1,yes,no,add_test
nppiAndC_16u_C3R,Logical/Bitwise,P1,yes,no,add_test
nppiAndC_16u_C3R_Ctx,Logical/Bitwise,P1,yes,yes,done
nppiAndC_16u_C4R,Logical/Bitwise,P1,yes,no,add_test
nppiAndC_16u_C4R_Ctx,Logical/Bitwise,P1,yes,yes,done
nppiAndC_32s_C3R,Logical/Bitwise,P1,yes,no,add_test
nppiAndC_32s_C3R_Ctx,Logical/Bitwise,P1,yes,yes,done
nppiAndC_32s_C4R,Logical/Bitwise,P1,yes,no,add_test
nppiAndC_32s_C4R_Ctx,Logical/Bitwise,P1,yes,yes,done
nppiAndC_8u_C3R,Logical/Bitwise,P1,yes,yes,done
nppiAndC_8u_C3R_Ctx,Logical/Bitwise,P1,yes,yes,done
nppiDilate_32f_C1R,Filtering/Morphology,P0,yes,yes,done
nppiDilate_32f_C1R_Ctx,Filtering/Morphology,P0,yes,yes,done
nppiDilate_32f_C4R,Filtering/Morphology,P0,yes,yes,done
nppiDilate_32f_C4R_Ctx,Filtering/Morphology,P0,yes,yes,done
nppiDilate_8u_C1R,Filtering/Morphology,P0,yes,yes,done
nppiDilate_8u_C1R_Ctx,Filtering/Morphology,P0,yes,yes,done
nppiDilate_8u_C4R,Filtering/Morphology,P0,yes,yes,done
nppiDilate_8u_C4R_Ctx,Filtering/Morphology,P0,yes,yes,done
nppiErode_32f_C1R,Filtering/Morphology,P0,yes,yes,done
nppiErode_32f_C1R_Ctx,Filtering/Morphology,P0,yes,yes,done
nppiErode_32f_C4R,Filtering/Morphology,P0,yes,yes,done
nppiErode_32f_C4R_Ctx,Filtering/Morphology,P0,yes,yes,done
nppiErode_8u_C1R,Filtering/Morphology,P0,yes,yes,done
nppiErode_8u_C1R_Ctx,Filtering/Morphology,P0,yes,yes,done
nppiErode_8u_C4R,Filtering/Morphology,P0,yes,yes,done
nppiErode_8u_C4R_Ctx,Filtering/Morphology,P0,yes,yes,done
nppiEvenLevelsHost_32s,Other,P2,yes,yes,done
nppiFilterBox_32f_C1R,Filtering/Morphology,P0,yes,yes,done
nppiFilterBox_32f_C1R_Ctx,Filtering/Morphology,P0,yes,no,add_test
nppiFilterBox_8u_C1R,Filtering/Morphology,P0,yes,yes,done
nppiFilterBox_8u_C1R_Ctx,Filtering/Morphology,P0,yes,no,add_test
nppiFilterBox_8u_C4R,Filtering/Morphology,P0,yes,yes,done
nppiFilterBox_8u_C4R_Ctx,Filtering/Morphology,P0,yes,no,add_test
nppiFilterMax_8u_C1R,Filtering/MinMax,P1,no,no,implement
nppiFilterMax_8u_C1R_Ctx,Filtering/MinMax,P1,no,no,implement
nppiFilterMax_8u_C4R,Filtering/MinMax,P1,no,no,implement
nppiFilterMax_8u_C4R_Ctx,Filtering/MinMax,P1,no,no,implement
nppiFilterMin_8u_C1R,Filtering/MinMax,P1,no,no,implement
nppiFilterMin_8u_C1R_Ctx,Filtering/MinMax,P1,no,no,implement
nppiFilterMin_8u_C4R,Filtering/MinMax,P1,no,no,implement
nppiFilterMin_8u_C4R_Ctx,Filtering/MinMax,P1,no,no,implement
nppiGammaFwd_8u_AC4IR,Color/Gamma,P1,no,no,implement
nppiGammaFwd_8u_AC4IR_Ctx,Color/Gamma,P1,no,no,implement
nppiGammaFwd_8u_AC4R,Color/Gamma,P1,no,no,implement
nppiGammaFwd_8u_AC4R_Ctx,Color/Gamma,P1,no,no,implement
nppiGammaFwd_8u_C3IR,Color/Gamma,P1,no,no,implement
nppiGammaFwd_8u_C3IR_Ctx,Color/Gamma,P1,no,no,implement
nppiGammaFwd_8u_C3R,Color/Gamma,P1,no,no,implement
nppiGammaFwd_8u_C3R_Ctx,Color/Gamma,P1,no,no,implement
nppiGammaInv_8u_AC4IR,Color/Gamma,P1,no,no,implement
nppiGammaInv_8u_AC4IR_Ctx,Color/Gamma,P1,no,no,implement
nppiGammaInv_8u_AC4R,Color/Gamma,P1,no,no,implement
nppiGammaInv_8u_AC4R_Ctx,Color/Gamma,P1,no,no,implement
nppiGammaInv_8u_C3IR,Color/Gamma,P1,no,no,implement
nppiGammaInv_8u_C3IR_Ctx,Color/Gamma,P1,no,no,implement
nppiGammaInv_8u_C3R,Color/Gamma,P1,no,no,implement
nppiGammaInv_8u_C3R_Ctx,Color/Gamma,P1,no,no,implement
nppiGraphcut8_32f8u,Segmentation/Graphcut,P2,no,no,implement
nppiGraphcut8_32s8u,Segmentation/Graphcut,P2,no,no,implement
nppiGraphcut_32f8u,Segmentation/Graphcut,P2,no,no,implement
nppiGraphcut_32s8u,Segmentation/Graphcut,P2,no,no,implement
nppiHistogramEvenGetBufferSize_16s_C1R,Histogram,P1,yes,yes,done
nppiHistogramEvenGetBufferSize_16s_C1R_Ctx,Histogram,P1,yes,yes,done
nppiHistogramEvenGetBufferSize_16s_C4R,Histogram,P1,yes,no,add_test
nppiHistogramEvenGetBufferSize_16s_C4R_Ctx,Histogram,P1,yes,no,add_test
nppiHistogramEvenGetBufferSize_16u_C1R,Histogram,P1,yes,yes,done
nppiHistogramEvenGetBufferSize_16u_C1R_Ctx,Histogram,P1,yes,yes,done
nppiHistogramEvenGetBufferSize_16u_C4R,Histogram,P1,yes,no,add_test
nppiHistogramEvenGetBufferSize_16u_C4R_Ctx,Histogram,P1,yes,no,add_test
nppiHistogramEvenGetBufferSize_8u_C1R,Histogram,P1,yes,yes,done
